,text,BIO_anno
6264,你总能一天刷n次一个嘿嘿嘿？？有一鸡不支持二维码??我想两个鸡轮流刷呵呵,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6265,的时候可以加到手机闪付里3。,O O O O O O O O O B-PRODUCT I-PRODUCT O O O
6266,呗没啥思，只能提前投资消费。,I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O
6267,显示小额贷款公司就行,O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O
6268,我也是花呗借呗逾期?已经结清了??不知道后面上不上,O O O O O O O O O O O O O O O O O O O O O O O O O
6269,上哈哈哈金额多少都无所谓,O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
6270,退款退回信用卡的，只是给你恢复额度而已，老老实实拿台鸡搞出来更好。,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
6271,不对，然原路退卡里但我办分期已经把消费的那部分占用了额度，分期后相当于这部分已经等同于还款了，退回去的已经是超过额度的钱了，我以前试过类似情况，当时是...,O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6272,退款是原来的退贷方式卡，只是为了给你恢复额度，老老,B-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O
6273,固额是不是稳了,I-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
6274,??用了才提，提额还是很快的,O O O O O O O O O O O O O O
6275,不能分期,B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT
6276,要你体的，你样说太笼了,O O O O O O O O O O O
6277,用不用怎么提高额度,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N
6278,银行给降的我有套现,O O O B-COMMENTS_ADJ O O O O O
6279,不是啊，卡，提交了才开始审核嘛？,O O O O I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N O O
6280,上的地方有招商，直叫卡员过来，比较快。,O O O O O B-BANK I-BANK O O O O O O O O O O B-COMMENTS_ADJ O
6281,已经联系我了，开心,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
6282,白金卡吗？工作证明盖章即可,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O
6283,多可惜,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
6284,妈小昭贷款方便！中行活动划算,O O O B-PRODUCT I-PRODUCT O O O B-BANK I-BANK O O O O
6285,也是纠结的点，就是额度低,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ
6286,基很稳的我的没工作都下,O O B-COMMENTS_ADJ O O O O O O O O
6287,卡员门拍照你咋过的啊？好心慌,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
6288,走吧，我去年分期买了手，走出暗室筹钱?多久没见了..,O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O
6289,哪么办呢，重新办张二卡可以吗，心累,O O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
6290,债，还从工资卡里扣？,I-COMMENTS_N O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O
6291,期钱本来就是你的义务。欠债逾期，还不让从工资卡里扣？,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O
6292,银行扣资的时候有不厚道，但是还债是自然的。是银行么,O O O O O O O O O O O O O O O O O O O O O O I-BANK I-BANK O
6293,按期还钱是你的义务。?债务逾期不还就不准发工资卡,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O
6294,理论上来说，你这个时间不是“经典”时间，大致是1830至19：00左右的时间段吧，不到经典时间更不说“厕所…,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6295,该是中信银行的明日贷不错的,O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O
6296,还审pp额度变成3000该不会下卡也只有3000吧,O B-COMMENTS_N I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O
6297,掌上生活App度信贷的金额大概率是卡的额度,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O O O O O O
6298,我之前有招行的额度8000然后销了，现在申请一直审核中，昨天app显示的额度还是8000，今天突然变成3000但是卡片还在审核该不会下卡就是3000吧...,O O O O B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N O O O O O O I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O
6299,00菜卡一张浦发的,O O B-PRODUCT I-PRODUCT O O B-BANK I-BANK O
6300,招商二卡本来是秒批的，白金卡除外！你既然去网点进件推二卡标金，那下卡额度估计能曲线！,B-BANK I-BANK O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O
6301,除了申请白金卡，其他卡都法曲线,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
6302,如果秒批了他额肯定是共享了可他现在没秒批而是审核了两天，估计能曲线！,O O O O O O B-COMMENTS_N O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O
6303,多的车才能进件,B-COMMENTS_ADJ O O O O O O
6304,不是曲线失败了,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
6305,在着，还没出结果，续等，额度随便多少都可以,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O
6306,刚才又去点了，网点可能我之前的那个卡虽然是金卡，当时资质不好，审核成普卡了，这次申请金卡，不出意外金卡最低10k...,O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O
6307,300对吧，那这次肯定能成功曲线到8000~1200，等着瞧！先恭喜你,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
6308,借老哥言，出结果第一时间诉你，可是我之前多次在资料管理提交行驶证没用,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
6309,我用招商卡10年了。你不注销1卡也不申请申请白金，不可能曲线。不信你等着,O O B-BANK I-BANK O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O
6310,招II卡本来第二批了白金卡！然你去了经销进口件,B-BANK O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O
6311,天我的两万多上门了，说让我先还一万多，剩下的才协商，也可以吧，这样也算宽松了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
6312,银的欠每月少点去，别给整成信用卡诈骗了。,O O O O O I-COMMENTS_ADJ O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O
6313,没也只能拖下去了，每个月还个几十块进入就行，代表有还款意向，但没还款能力，没协商好分期还款前，都不要还大金额进入，还进去也是当利息扣掉浪费钱。...,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O
6314,每个月还点有用，也不够扣利息,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT
6315,别听那些月还么一百十，全没的不如留买点吃的。最有用的方法就是逾期超过90天以上，打...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O
6316,不要听那些一个月交10以上，全没用。还不如,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O
6317,1237投诉一期左就能成，我上次工行的就是,O O O O O O O O O O O O O O O O B-BANK I-BANK O O O
6318,我通了12378投诉，一个礼拜左右他们打电话来同意分期了，态度好的不得了,O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
6319,已经成功个招商银行的分期,O O O O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT
6320,发以接免金理费当然零开,O O O O B-PRODUCT O O O O O O
6321,要是代就以吗，没有最低标准,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
6322,谢谢的回复，距最一次款已经3个了。?大是翻,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-COMMENTS_N
6323,最后一次有次交银行刷一3万，还制额度我从来没有拖延她们一天还款，果断注销了,O O O O O O B-BANK I-BANK I-BANK O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O
6324,后一取款，然后就注销了,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O
6325,老你不是去澳门演完最后一场戏吗？我都关注你好久了。,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
6326,没啥的的，就叫办张储蓄卡,O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT
6327,对，而我绝了为用不上他家储蓄卡,O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT
6328,没问就确认自己是不自己。??,O O O O O O O O O O O O O O
6329,，没通么办申的,O O O O O I-COMMENTS_N O
6330,我个,O O
6331,行很简单什么都不需要,I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O
6332,可以邮到家庭住吗？应该是以的，邮政储蓄经常都是的,O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O
6333,要是看看卡号如何??合适就升级成一类卡??原卡降级,O O O O O O O O O O O O O O O O O O O O O O O O O
6334,储卡并多,B-PRODUCT I-PRODUCT O O
6335,怕领卡刁。我上回打印了一份工作证明，愣是不敢进,O O B-PRODUCT B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O
6336,要有网么，我们这边农行的网点好少,O O O O O O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ
6337,好的片多，不能申不能申,B-COMMENTS_ADJ O O I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O
6338,话沈周做什么的？没听过啊,O O O O O O O O O O O O
6339,不错的卡面,B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N
6340,希望如，我的额度能高点就好了,O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O O O O
6341,和银行打电协商，这种行会解的，放心吧，开心点,O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
6342,银监会投诉要求协，我的逾期一个账单，今天出第二个账单，成功36期！,O O O O O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O
6343,你是跟银行协商无果以投诉的还是直接投诉的？该咋说呀？,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O
6344,我是监会投诉然后天行投部门打电话给我询问什么原因，说了就登记什么的，今天021打电话来说最多分36期,O O O O O O O O O I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O
6345,，想请问下，给分期36期了，用手续费的吗，还是就是本金除36期呢,O O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O
6346,我也收到这个件了话里和招商那边还不上剩下的挂电话就我发来邮，这是催收手段还是真的在做...,O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O
6347,您好，想问一，已经给了36期了，手续费用吗，,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O
6348,天回电话了，本金6万，还有两张票据的费用过期了,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O
6349,网申？会有员联系你填表，再等等吧,B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O
6350,本过了额度多少就不得而知,O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O
6351,业务员7号就上了，额就很快提升了,O O O O O O O O O B-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
6352,面签，7号业务员来公司办理然后一直没更新。这可咋办，坑死了,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O
6353,有临时起码就有额的希望，好好儿养,O O O O O O O I-COMMENTS_N O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
6354,招贷还清多久,I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ
6355,账日一天还,B-COMMENTS_N I-COMMENTS_N O O O
6356,不日吗？,O O O O
6357,眼招商，昨天还能续的临时额度今天不能续了，汽车分期预计最高额度降了3w,O B-BANK I-BANK O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ O O O
6358,信用卡没钱时候一张一万块应急就行，能不用就别用，用了后你很难存钱，努力找个收入高的，一年存个5万以上，过来人经验...,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O
6359,账单日是上报征信的日子，账单日前一天还款就能有效降低征信显示的负债。千万别还款日还款,B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N
6360,我赶1整19，但是我典时间了。三千额度，给下卡就很满意了,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
6361,楚。我买的招行的基金反正没动,O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT O O O O
6362,个用什么有！,O O O O O O
6363,个额少不,O O O O
6364,德额出来了，6000菜卡,O B-COMMENTS_N O O O O O O O O B-PRODUCT I-PRODUCT
6365,老哥你的怎处理了，我的也说要报案了我比你还多点，慌,O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ
6366,名下有吗？如果有一套就好了。?据说金额,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N
6367,征信报告查询中，还没发验证码给我,B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O
6368,的，只花了1秒钟?这么快么,O O O O O O O O O O O B-COMMENTS_ADJ O
6369,我没查信用信息，不是黑名估计,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O
6370,不会是最近刷卡没积分的原因？？,O O O O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT O O O O O
6371,何的基金一直在亏,O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ
6372,过了款日就停了，账单日第二天会更新的,O O I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O
6373,六行二万出头，这额度咋样,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O
6374,高资质，放砖之类的，或者多用卡一段时间，有可能能破。,I-COMMENTS_ADJ O O O O O O O O O O O O O B-PRODUCT O O O O O O O O O O O
6375,你是没有白金卡吧？任意下行真白金卡可以破，这是征等级限制，白金不行，申钻石，卡等级越高，授信就越高！,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-PRODUCT O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O
6376,申卡行是怎么知道他行是什么卡呢？征信不显示卡种啊,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O
6377,你是没有白金卡吧？任下一行真白金卡可以破，这是征信等级限制，金不行，申钻石，卡等级越高，授信就越...,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O O O O O
6378,当道啊！单行授信额度显示啊，普卡金卡白金卡砖石卡无限卡都是有额度区间的！征信和审核可以识别判断！审核时也会问你有没有他行高等级卡！这都是基本常识！...,O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O
6379,实证放破了，3砖已近一年，同样他行过高,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
6380,请教各位大，我这三个月涨一次,O O O O O O O O O O O B-COMMENTS_ADJ O O
6381,可以点下试试，招行的不多，但是有羊毛,O O O O O O O B-BANK I-BANK O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O
6382,00000，兴业就这样的,O O O O O O B-BANK I-BANK O O O O
6383,容是什么？这是商外包电话，大部分都是卖产品的,O O O O O O O I-BANK O O O O O O O O O O O O O O
6384,老哥有理财吧？这总了小招还给你提额。,O O O B-PRODUCT I-PRODUCT O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O
6385,没钱理财！,O O B-PRODUCT I-PRODUCT O
6386,借记卡，大家不用折腾了,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
6387,黑招商系，别刷小额太多，招商不喜欢,O B-BANK I-BANK I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
6388,哦那就好，6+1是第六个月出账单的第二天吗,O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O
6389,满足期账单，卡满180天才提我的就是第六期半才180天然后才提的。,O O O B-COMMENTS_N I-COMMENTS_N O I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O
6390,就几几百，一天七八，也有十几块，手续费还是看一看的,O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O
6391,我首黑一年多,O B-COMMENTS_N O O O O
6392,黑问大，小昭首提难破，破了3+1还是比较稳的，按小额多笔的思路来，支付宝，微信，云闪付轮番上阵，上十足买个打火机一两块钱的也用上，中间穿插几笔大额的Tx...,O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O
6393,临额没断过，希望6+1能成功首提,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N
6394,了年多后额度还蛮高,O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ
6395,黑。招佛学系不要刷太多小额，招商不喜欢,I-COMMENTS_ADJ O B-BANK O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
6396,请问你是怎么分期的，联系说没有这个业务,O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O
6397,都圾银行，农行??民生留下，其他全销,O I-COMMENTS_ADJ O O O B-BANK I-BANK O O B-BANK I-BANK O O O O O O O
6398,荐到六个银行吧，兴业绝对是良心,O O O O O O O O B-BANK I-BANK O O O O O
6399,就我名的这些就了。首推建行,O O O O O O O O O O O B-BANK I-BANK
6400,到3W就会消失???太坑了,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
6401,6早呢，等着吧，别急,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
6402,20K固额22K临额??现金分期为24K目前可用额度为360.47貌似现分达到40K才可以毕业，请问如何增加现分的额度呢？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6403,个月都没首提，也是15k的额度,O O O O B-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N
6404,有时吗？想搞个临时额度,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N
6405,右边的是有赠品吗？保养没给你？行车记录仪记得要原厂的虽然这个也不好,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
6406,我逾期5年了，本金88000，加利息滞纳金一共119000，期间有家催收联，让我还60000清，他说银行给他们的提成是百分60，我还一半，他们出一半，这样他们赚个百分之10也...,O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6407,亲，协商好了说下，我情况和你差不多,O O O O B-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
6408,信用卡中心客服，老是让催收跟我打电话协商，他们不管，因为已经外包给催收了，现在催收同意分5年还款，但是分期不能减免利息跟滞纳金，还进去的钱优先抵扣利息！后续如...,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N O O O O O O O
6409,主，请问利息最后到底怎么样了,O O O O B-PRODUCT I-PRODUCT O O O O O O O O
6410,他会收你几月？,O O O O O O O
6411,逾期的违约金利息你就别想减免,B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O O O O O O
6412,好，逾么久有起诉吗？我也是招商逾期，本金加信用卡二十几万,O O B-COMMENTS_N O O O O O O O O O O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT I-PRODUCT O O O O
6413,k，建设银行的,O O B-BANK I-BANK I-BANK I-BANK O
6414,盼神看哪些去留，个人出国消费多一些，看看那些卡片注销掉为好，谢谢了,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ O
6415,毕业成功3k到10k，兴业耶,O O O O O O O O O O O B-BANK I-BANK O
6416,掌上生活设置里面有一个清除缓存，清了还不行就等明天就好了,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O
6417,招商向日葵。不想做就做不了。我没有那么多现金。立即兑现,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O
6418,你买可朝盈,O O O B-PRODUCT I-PRODUCT
6419,听说金葵够也可以办，只是缴纳管理费就行了，一个月160，小钱,O O B-PRODUCT I-PRODUCT I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O
